No.,Year,Asset,Platform,Station,Surface,Euphotic_zone
1,2022,GBS,PPS,PPS1,3.09,2.83
2,2022,GBS,PPS,PPS2,2.88,2.80
3,2022,GBS,PPS,PPS3,2.79,3.18
