No.,Year,Asset,Platform,Station,Surface,Euphotic_zone
1,2022,GBS,PPS,PPS1,0.80,0.71
2,2022,GBS,PPS,PPS2,0.82,0.72
3,2022,GBS,PPS,PPS3,0.79,0.87
