Asset,Platform,Latitude,Longitude,Type
G2S,PPS,7.489899,102.616965,nor
ART,APP,8.258577,102.52677,nor
G2N,PP,8.026091,102.317768,nor
G2S,WPS6,7.701963,102.861036,nor
ART,AWP1N,8.549264,102.304539,nor
G2N,WP37,8.142877,102.260081,nor
REF_InField,REF_InField,0,0,ref
Losin_Island,Losin_Island,0,0,ref
REF_Losin_Island,REF_Losin_Island,0,0,ref
