Asset,Latitude,Longitude,Type
G2S,7.489899,102.616965,nor
ART,8.258577,102.52677,nor
G2N,8.026091,102.317768,nor
REF_InField,0,0,ref
Losin_Island,0,0,ref
REF_Losin_Island,0,0,ref
